,F5,F6,F8,F9,F10,F11,F15,F16,F17,F18,F23,F24,F31,F34,F36,F39,F41,F43,F45,F46,F47,F48,F50,F51,F53,F54,F55,F56,F61,F62,F64,F65,F66,F69,F70,F71,F72,F73,F77,F80,F85,Class
23,1.0,1.0,0.760250784,0.760775994,1.0,1.0,0.76018845,0.760270044,1.0,1.0,1.0,0.760679834,0.760213938,1.0,0.760194625,1.0,0.760283196,1.0,0.760212075,1.0,0.760277107,0.760244751,0.760636967,0.760194902,0.760202349,1.0,0.760211201,1.0,0.760189515,0.760324589,1.0,0.760192235,0.760236062,0.760222818,1.0,0.760206181,1.0,1.0,0.760212075,1.0,4.8332,2
24,1.0,0.7602,1.0,0.6199,1.0,0.766,0.62,1.0,0.7607,0.7602,1.0,1.0,0.62,0.7604,1.0,1.0,0.6209,0.7609,0.7602,0.7603,0.6207,1.0,0.7602,0.62,0.7602,1.0,0.7602,1.0,1.0,0.7602,1.0,1.0,0.7604,0.7603,1.0,0.7602,1.0,0.7604,1.0,1.0,14.6369,0
25,1.0,1.0,1.0,0.7602,1.0,1.0,0.761,1.0,0.760200847,1.0,1.0,1.0,0.760198184,1.0,1.0,1.0,0.760246195,1.0,1.0,1.0,0.760246693,1.0,1.0,0.760187541,0.76020158,0.620000489,1.0,1.0,1.0,1.0,1.0,0.760246842,1.0,0.76023384,0.620586875,1.0,1.0,1.0,1.0,1.0,31.2769,0
26,1.0,1.0,0.7609,0.7603,0.7607,0.7602,1.0,0.7612,0.76018857,0.760194339,0.760407743,0.7607682,1.0,0.765635109,1.0,0.761432675,0.760253416,0.760312757,0.760194292,0.764457333,1.0,0.760198482,0.760194339,1.0,0.771757802,1.0,1.0,1.0,1.0,1.0,1.0,0.762599323,0.765635109,0.760187557,1.0,1.0,1.0,1.0,1.0,1.0,27.4346,0
27,0.760225611,1.0,1.0,0.620244252,0.770195118,1.0,0.760196465,0.761770838,1.0,0.760234502,0.760597105,1.0,0.760289776,0.762035142,1.0,0.760442437,0.622980449,1.0,0.760188685,1.0,0.760584708,0.76020722,1.0,0.761710908,0.769342997,1.0,0.760597105,0.760307814,0.760242618,1.0,0.770242454,0.760331137,1.0,0.760193357,1.0,0.760442437,0.760512261,1.0,0.760188685,0.76020722,2.7527,0
28,1.0,1.0,1.0,1.0,1.0,0.761521443,0.76109744,0.760464729,1.0,0.760562388,1.0,1.0,0.761370389,0.760707893,0.760670336,1.0,1.0,0.760347469,0.761359412,1.0,0.761539831,0.760199755,0.760562388,1.0,1.0,0.760196326,0.760286783,1.0,0.62042277,0.624927852,0.764129863,1.0,0.760707893,1.0,0.760192051,0.760194341,1.0,0.760211743,0.621393705,0.760199755,8.895,0
29,1.0,1.0,1.0,0.760189515,1.0,1.0,1.0,0.760190966,0.532405779,0.760247501,1.0,1.0,1.0,0.760468009,1.0,1.0,0.760633626,1.0,1.0,1.0,1.0,0.760198536,0.620120043,0.760192294,1.0,0.760189209,1.0,0.760210041,1.0,0.760240668,1.0,1.0,0.620449547,1.0,0.760583583,1.0,0.760393737,1.0,1.0,1.0,10.8674,0
30,1.0,0.760204991,0.76019377,0.619956137,0.760228536,1.0,1.0,0.760195916,0.620021439,1.0,0.619955474,0.760204562,1.0,1.0,1.0,0.620558847,0.620576055,1.0,1.0,0.620168661,1.0,0.760285912,1.0,0.760194927,1.0,0.760213043,1.0,0.760204562,1.0,0.619915205,0.760200728,1.0,1.0,1.0,0.760338111,1.0,0.760286017,1.0,1.0,0.760285912,16.7942,1
31,1.0,1.0,0.7602,0.6201,1.0,0.7602,0.6201,0.7602,1.0,1.0,0.620075501,0.760354225,0.620001836,1.0,0.760326922,0.62000182,0.619947484,0.760206205,0.620050695,1.0,0.619920836,0.760189087,1.0,0.760202256,1.0,1.0,1.0,0.760354225,1.0,0.620207687,0.760236615,1.0,1.0,1.0,1.0,1.0,0.760190043,1.0,1.0,0.760189087,20.1437,2
32,0.62,1.0,1.0,0.6199,0.7602,0.7602,1.0,0.7602,1.0,1.0,0.760559216,1.0,1.0,1.0,0.760190607,0.760198463,0.620131062,0.760189186,1.0,0.620044139,1.0,0.760199587,1.0,0.620387013,1.0,1.0,0.621532471,1.0,1.0,1.0,1.0,0.619960174,1.0,1.0,1.0,0.619915056,1.0,1.0,1.0,1.0,23.3558,3
33,0.761205786,1.0,0.762383322,0.760196947,0.76316596,1.0,1.0,1.0,1.0,0.760242675,1.0,0.76018973,1.0,0.760267734,1.0,1.0,0.76061989,1.0,1.0,0.760239267,1.0,1.0,0.760242675,1.0,0.620172419,1.0,0.760243934,0.76018973,1.0,1.0,1.0,0.760265697,0.760267734,0.620028254,1.0,0.760466805,0.760326209,1.0,1.0,1.0,31.3188,1
34,0.760346128,0.760221118,1.0,0.76019687,1.0,1.0,0.760196625,0.619928499,0.760234177,1.0,0.760211711,1.0,0.76037926,1.0,0.61991775,0.760188272,0.760190748,1.0,0.7602989,0.760187561,0.760226285,0.628547807,1.0,0.760199891,0.760225633,0.763279036,0.760211711,1.0,1.0,0.760203017,1.0,0.760191147,1.0,0.760223937,0.760267334,0.760188272,1.0,0.760190748,1.0,1.0,8.6045,2
35,1.0,0.62024806,0.760192459,0.760198918,1.0,0.760189904,1.0,0.760210586,0.647038736,0.760641619,0.619991064,0.760198877,1.0,0.76024678,0.760188571,0.619967166,0.760196151,0.760196036,1.0,1.0,1.0,0.760257544,0.760641619,1.0,1.0,1.0,1.0,0.760198877,1.0,0.620060958,0.760196832,0.619936073,0.76024678,1.0,1.0,1.0,0.760252185,0.619912743,1.0,0.760257544,12.9282,3
36,0.989754136,0.979890444,0.983157109,0.983329997,0.96017216,0.981519227,0.986223589,0.999772516,0.979184751,0.980948291,0.970376191,0.973702245,0.990889902,0.962404876,1.0,0.970647467,0.981518775,0.982810857,0.977597975,0.968883107,0.994466326,0.979914812,0.987551017,0.993850053,1.0,0.988939414,0.993197786,0.992992788,0.988827596,0.988715779,0.980031309,0.991080023,0.986707126,0.968280452,0.989402371,0.991006683,0.990548308,0.994407825,0.99453617,0.981050779,9.0104,0
37,0.990046497,0.97270178,0.951038802,0.97110707,0.935279836,0.978041373,0.970775585,0.973391627,0.989174069,0.989292137,0.968711968,0.993833215,0.994832253,0.962568582,0.967344072,1.0,0.95325462,0.975323706,0.96649256,0.962015538,0.996251591,0.974665321,0.99001471,0.990897339,0.993759194,0.923202425,0.94880756,0.922444613,0.978397896,0.936664735,0.953006731,0.986763112,0.991764524,0.987355264,0.950969764,0.989468794,0.930207982,0.989669214,0.991044831,0.960954368,22.5128,0
38,0.971463463,0.994414812,0.976375195,0.953603434,0.961056337,0.989224718,0.970323079,0.969595747,0.985265164,0.976536769,0.974958037,0.980302137,0.969559497,0.967479956,0.923577897,1.0,0.944715925,0.997846412,0.968725405,0.9494469,0.969209746,0.959012636,0.986568998,0.969019275,0.975919938,0.976172842,0.985692866,1.0,0.979279947,0.977365103,0.990958686,0.98507271,0.990146337,0.990761044,0.986485619,0.984513051,0.994036424,0.977742098,0.988751778,0.997825588,5.8246,0
